id,characteristic,known_variations,number_of_users,number_variations
89,Sport interest,"['Yes-playing, no-watching', 'Medium ', 'Slight', 'Strongly', 'Hardly', 'No', 'Yes', 'Gaelic football', 'Interested in me exercising and no interest in watching sports', 'Hate sports', 'Yes - watching american football', 'Slight (watching m.u. rugby or strong man competitions)', 'Fuck no', 'Baseball, random interest in others, not a rabid fan in general', 'Yes, if i can attend live event', 'Nothing']",216,16
33,Abnormal Blood Pressure,"['Normal', 'Prehypertension', 'Hypotension', 'Low blood pressure', 'Normal...', 'Low to normal', 'Norma', 'Rs2075650', 'Hypertenisve', 'Had hypertension, now normal.', 'Orthostatically variable (postural changes)', 'Hypertensive w/ extreme orthostatic variations', 'Dont know', 'Low pulse pressure', 'Prehypertension, low pulse', 'Hypertension', 'Extreme hypertension with minimal response to meds', 'Neurally mediated syncope (bp drops low at heat, extended standing, exersion, etc)', '110/80']",216,19
108,Autoimmune disorder,"['Yes', 'No', 'Undiagnosed', 'Yes, uveitis', 'Type 1 diabetes and anti-phospholipid antibody syndrome', 'Eczema', ""Hashimoto's thyroiditis"", 'Interstitial cystitis', 'Not sure', 'Multiple sclerosis', 'Psoriasis', 'Alopecia', ""Crohn's disease and hashimoto's"", ""Crohn's disease"", 'Eczema and hypothyroidism', 'Narcolepsy', 'N/a', 'Maternal grandmother had lupus', 'Iga deficiency', 'Type 1 diabetes', 'Undifferentiated connective tissue disease', ""Cushing's disease"", 'Ankylosing spondylitis, crohns', 'Inflammatory arthritis', 'Graves disease', 'Rheumatoid arthritis', ""Reiter's syndrome"", 'Coeliac disease', ""Sjögren's syndrome"", 'Psoriatic arthritis']",214,30
183,Vitiligo,"['Mind case of vitiligo consisting of patches of white un-pigmented skin in the chin and groin area (started manifested around my 24 birthday and has progressed slowly)', 'No', 'Mild.widespread ""negative freckles""', 'Most of face and large symmetrical patches on limbs and trunk', 'Some on legs', '2 places on stomach', 'Rs561079 c/t, rs10986311 t/c, rs6012953 g/g, rs10087240 c/t, rs4308124 c/t, rs11079035 g/a, rs13136820 t/c, rs2687812 a/t', 'Sides of face, around eyes, patches on forehead and around mouth, hands, and fully covering shins. also have widespread ""negative freckles.""', 'Mild, localised to sun exposed area of arms, nrgative freckles.']",213,9
269,Daily Sleep Duration (hours),"['7-9', '5-7', '4-6', '6-8', '8-10', '4hrs x 2 sleep broken by 2 8hr pds. awake', '6.5-9.5', '7-8', '6-10', '10-11', '5-6 ', '4-8', 'Without r.e.m. reduction meds, will oversleep and feel like hell. with, even 4-6 hours is better. short sleeper? ', '3-6 until i turned 40 now 8-10']",210,14
115,Insect bites and stings,"[""I'm not allergic "", 'Sensitive to mosquito bites', 'Bee allergy', 'Very sensitive', 'Mosquito magnet', 'Very sensitive and allergic to stings of spiders', 'Mild sensitivity (small to medium wealts) to mosquitoes, spiders, wasps & bed-bugs.', 'Allergic to ant bites', 'Allergic to stings of hornets', 'Mosquito & gnat magnet - developed anaphylaxis reaction to ants (fire) over time', 'Huge intensely itchy long lasting wheals with most insect bites ']",210,11
174,Autism,"['No, though there are tendencies', 'No', 'Classical autism', 'Asperger', 'Asperger unofficial diagnosis', 'Yes. autistic. ', 'Aspie', ""Very high functioning asperger's"", 'Regressive autism', 'Hell i dont know pay for insurance for me i will go get checked out', 'High-functioning autism', 'Unofficial high functioning autism', 'My snps say carry the genes and i think so myself', 'Asperger traits', 'Aspergers', 'Autism spectrum disorder', 'No, but have autistic daughter', 'Grandchild diagnosed autism on severe end', 'Yes']",210,19
120,mouth size,"['Medium', 'Small', 'Large', 'Slightly wide mouth ']",209,4
139,Energy Level,"['Varies', 'Medium', 'Low', 'High', 'Walking and weight training']",209,5
121,prognathism,"['No (normal jaw)', 'Maxillary prognathism', 'Mandibular prognathism', 'Overbite ', 'Class 2 occlusion ']",207,5
194,Ear wiggling,"['No', 'Yes', 'Right ear only', 'Not on command, but when i hear things behind me.', 'Can wiggle both ears: together and independently', 'Left ear only ']",206,6
82,brown hair colour,"['Medium brown', 'Caucasian', 'Brown-black', 'Really one-noted question', 'Dark with red highlights', 'Light brown', 'False', 'Med brown with red and blonde highlights', 'A lot ', 'Dark blonde with red and blonde highlights', 'Rs1805007', 'Brown and silver', 'Strawberry blonde', 'Caucasion', 'Medium brown with red sheen', 'Auburn', 'Dark brown with red tinges', 'Light blonde', 'Medium brown, premature gray', 'Medium blonde with some golden', 'Brown', 'Blonde as a child then darker to brown as i age', 'Medium brown with red sheen; bleaches fast in uv light', 'True']",205,24
307,Hair color,"['Dark brown', 'Dark blonde, strawberry', 'Blonde', 'Toe head to dark reddish brown', 'Blondish reddish brown', 'Dark blonde', 'Black (very slight tint of red)', 'Grey and brown', 'Black ', 'Very dark brown', 'Copper/red', 'Medium golden brown', 'Grey head, strawberry blonde facial and body', 'Strawberry blonde', 'Darkest brown to black ', 'Brown going to white in early 40s', 'Auburn', 'Dirty blond, dark red beard', 'Brown,red,blond', 'Dark blonde, ', 'Black', 'Towhead to light ashy brown by 20s', 'Brown', 'Medium brown']",204,24
233,Body shape,"['Apple', 'Hourglass', 'Pear', 'Inverted triangle', 'Obese but not shaped like fruit', 'Rectangle', 'None of the listed ones', 'Thin', 'Normal 52 year old male', 'Hourglass-ish; wide shldrs, long neck/extremities, small brsts/wst/hips, to be exact', 'Well proportioned', 'Athletic - large shoulders', 'Oval', 'Inverted triangle on testosterone; hourglass on estrogen']",201,14
207,Gestures when speaking ,"['Sometimes i notice', 'Movement with both hands', 'Movement of the right hand ', 'Not', 'Only if i remember to gesture ', 'Some hand gestures, more with alcohol']",200,6
189,Mental Disease,"['Bipolar', 'None', 'Panic disorder agoraphobia', ""Asperger's disorder"", 'Anxiety and depression', 'Depression', 'Sad depression', 'Panic disorder', 'Rs4948418', 'Prob a few of them', 'Anxiety', 'Pdd-nos and  adhd', 'Anxiety, ocd, agoraphobia, depression', 'Major depressive disorder, ptsd, generalized anxiety, panic disorder, add, ocd', 'Bipolar 2, adhd, ptsd', 'Multiple diagnosed', 'Hypomania/ocd/anxiety', 'Anxiety (esp. social), depression, ocd, autistic tendencies, maladaptive daydreaming', 'Major depressive disorder, dysthymia, asd, social anxiety disorder, ocd, adhd, unspecified dissociative disorder, developmental speech/language disorder', 'Adhd, anxiety, depression, adjustment disorder', 'Ptsd and results of it(dissociative disorder, depression, anxiety), maladaptive daydreaming, and autistic tendencies', 'Undiagnosed', 'Major depressive disorder, generalized anxiety, binge eating disorder', 'Paranoid schizophrenia', 'Schizoid', ""Asperger's syndrome, adhd, schizoaffective bipolar, and agoraphobia"", 'Anorexia nervosa, anxiety, depression', 'Borderline personality disorder ', 'Adhd, ocd, depression/anxiety']",198,29
150,Y-DNA Haplogroup (ISOGG),"['I1*', 'I2b1', 'I2*', 'N/a', 'R1b1a2a1a1a3a1, r-z306', 'R1b1b2a1a1', 'I2a2b', 'R1b1a2a1a1b', 'R1b1a2a1a1b3(u152)', 'E-m84', 'D2a1b', 'H6a1b2', 'R1b1b2a1a1d*', ' r1b1b2a', 'J2a1a', 'R1b1b2a1a2f', 'R1b1b2a1a', 'R1b1b2a1a2f*', 'I1', 'R1b1b2a1a2d3a', 'Possible r1b1b2a1a2d3* or i1*', 'J2b', 'Probable r1b1b2a1a1', 'E-m35', 'R1b1b2a1a2c', 'A1a-m31', 'N/a-female', 'R1b1b2a1a2f2', 'Possible r1b1a2', 'R1a1a*', 'E1b1a7a', 'N1c1', 'O3a', 'R-fgc396>l199', 'I2a1a1a1b1 (i-pf6950)', 'R1b1b2', 'R1b1b2a1a2f2-m222', 'I-l38', 'R1b-m222-pf1169', 'E1b1b1a1b1a', 'R-cts606', 'E1b1b1c', 'I-m170', 'T', 'I2a2a (i-z2054)', 'R1a1a1', 'I-cts6433', 'I2a', 'R1b1b2a1a2d3*', 'E-l17', 'R1b1a2a1a1b2a1', 'Havent tested the y yet', 'J-fgc5206', 'R-fgc924', 'L2a1c', 'E-v13', 'R1b1b2a1a2d*', 'R1b1a2a1a2a-df27', 'J1e', ""I don't know "", 'E1b1a8a1', 'R1b1a2a1a1c2b2b1a, r-z326', 'J2 z387', 'R1b1a2a1a1a1c2b1 , r l-47', 'H1', 'E-v65', 'R1b-z3004', 'I1-p109', 'R1a', 'R1b1a1a2a1a1c2b2a1a1', 'I1-l1452', 'J-l243', 'E1b1b1a4', 'E-m2', 'L1b m317', 'R1a1a1b1a1b', 'I-by3428 (viking)', 'R-p312 (df27?)', 'R2a', 'V1a1a', 'R1b1a2a1a2c, r-m529', 'J-z628', 'I1a1b', 'T1a', 'I1a2b1', 'I1-l22', 'E-m132', 'R1b1a1a2a1a2b2   s206/z36', 'J1c3d', 'N1b', 'R-u152', 'R-m269', 'Q1b2b1a2d1', 'T-l131', 'R1b1a1a2a1a1c2b1, r l-47', 'R-m417', 'Unknown', 'R-p278.2', 'R-269', 'R1b1a2a1a2b2   s206/z36', 'R-u198//s29 r1b1a2a1a1c2a', 'I1-a4637', 'R-s476', 'I1-z2042', 'R-m207', 'I-y4955', 'R-fgc3222', 'R-y32290', 'R-by91294', 'I1-z17926', 'R-z214', 'Il1598', 'C2b1a1b', 'R1b1a1b1a1a2c1a1k', 'E-z6018', 'R-z16540', 'R1a1a1b1a2a (r-z92)']",198,117
37,SAT Math,"['800', '640', '760', '790', 'Country with no sat', 'Did not take', 'Unable to remember score', 'Never & have ba & above', '720', '680', '520', '700', '780', '730', '540', 'No record but the lowest of the 4 part score  was just over () percentile was the farthest to left of 4', '660', '690', '670', '650', '609', '630', '750', 'Too long ago, but 700+', '740', '490', '757', '707', '620', 'Did not take, but i have a ba and ma; and scored 32 out of 36 on act, 99th percentile.', '600', '800 (actual hs math percentile estimated at 99.95+%, took aime 2 years, was on arml state team, took diffeq in hs)', '700+ cannot remember exact number.', '480', 'Took act for college admittance, not sat. gained bachelors degree']",197,35
235,sex drive,"['Medium', 'Low', 'High', 'None', 'Very high - monogamous. no interest outside partner', 'Very high', 'Good', 'Very high before menopause--now dead below the waist.', 'Varies. sometimes very high, other times no interest']",196,9
66,excessive daytime sleepiness,"['No', 'No, excessive daytime hyperactiveness', 'Yes', 'Sleepy when not stimulated', 'Diagnosed with narcolepsy', 'I like a siesta', 'After seeing a sleep doctor, i can happily say no longer', 'Not when younger, but yes now at 65', 'None since ect for severe depression, prior to treatment excessive sleepiness 24/7', 'Yes, since i was 40', 'Yes. diagnosed with severe apnea, 55 episodes per hour. use cpap now, but continue to be a restless sleeper due to injuries in both shoulders making finding a comfortable sleep position difficult, waking periodically due to pain.', 'Wake up at night ,stay up for awhile and go back to sleep (average 4) hours a night ....so yes at least 2 naps a day', 'Rs2305795(a;g)']",195,13
114,Allergic/bad reaction to fish oil supplements,"['Unknown', 'No', 'Yes', 'Dislike seafood intensely but no allergic reaction known', 'Yes, gives me cystic acne']",194,5
227,Eyebrow Mover,"['No', 'Both', 'Left eyebrow can be raised only', 'Right eyebrow only']",193,4
206,SLE - Lupus,"['Not diagnosed with sle', 'Diagnosed with sle', 'Dont know', 'Rs9888739', 'No', 'Rs509749(a;g), rs7582694(c;g);  rs10516487(c;t), rs3821236(a;g), rs7574865(g;t),   rs2304256(a;c), rs1734791(a;a), symptomatic, but no diagnosis. ']",191,6
203,Black,"['White', 'African', 'What?', '0.5% african', '.25 african', '.3%', 'Yes', '2% sub-saharan african', 'Human', '33.7% african', '16.7% african ', '8% african', '4%', '23 and me shows no african dna my heritage.com shows 2.9% north african ', 'No']",190,15
259,Third Nipple,"['None', 'On my left, very small', 'Yes on my forehead', 'Symmetric nipples at mid torso']",188,4
91,libido ,"['Medium', 'Variable', 'Low', 'Undiagnosed:)', 'High', 'None of your business', 'Average', 'Normal/high']",185,8
175,Fat-pad knee syndrome,"['No', 'Yes']",184,2
290,blood type,"['O+', 'Rh negative', 'B-', 'A+', 'Two many repeat ????', 'Ab+', 'B+', 'O-', 'Unknown', 'Ab-', 'A-', 'O']",184,12
237,Hypermobility,"['Yes- i am hypermobile in many joints', 'None', 'Joints are unstable, painful', '5', 'In hands only', 'Yes', 'Yes i have a hypermobility syndrome', 'Can lick my right elbow', 'Generalized hypermobility - i have a hypermobility disorder', 'Yes, in elbows', 'Legs and elbows', 'Yes-  am hypermobile in many joints', 'Eds-ht', 'No']",181,14
177,cluster headache,"['No', 'Yes', 'Sinus headaches in clusters', 'Get both', 'Hemiplegic migraines in clusters', 'Cluster ha, migraine due to seizures (multiple head injuries), eye-strain ha, & also @ a-o joint from multiple neck injuries', 'Brain aneurysms', 'Yes, began in 30s', 'Rarely']",181,9
238,Dimple in the chin,"['No dimple in chin', 'No', 'Yes', 'Slight']",180,4
76,Penis Length,"['N/a', '18cm', '7+ inches', '15 cm', '17', '20+ cm', '8 inch/20cm', '15cm', '15.25cm / 6""', '7 inches', '52 years never had a complant of being to small.but have had complant of being to much', '20cm', '16.25 cm', '5 inches', '9.55cm', '13+ cm', '9""', '7.8""', '7""', '8 1/8""', '17 cm', '6.75""', '8.5""', '8+ inches', '5 1/2 inches', '13', '6.5""', '13,6cm', '16.65 cm', '2 in', '15.24cm', 'Never measured ', '19cm', '16 cm']",180,34
195,Allergic rhinitis,"['Both grass and tree allergies', 'No', 'Tree pollen', 'Grass pollen', 'Not sure anyone can say nothing has ever irritated your nose enough to sneeze, i probably misunderstand the question', 'Dust, mold, dander, and the rest', 'Yes', 'Tree, ragweed, dust ', 'Ragweed and dust mites', 'Grass, dust, mold, dog, etc', 'Not until becoming an older adult (40+)', 'Grass, many trees, dust, mold, dander, some food allergies. ', 'Acari allergia']",176,13
283,How many wisdom teeth did you have/ do you have (if you know).,"['4', 'Only 1 wisdom tooth', '2', 'All 4 wisdom teeth', 'Had 4 now none', '0 wisdom ever ', '3', '5']",176,8
261,I dance....,"['Whenever i want to (not well)', 'Very happy , but there is little time', 'When moved by the music', 'Very rarely', 'Very well', 'Never !', 'Only in my dreams', 'Like to but have no time to do so', 'At the drop of a hat', 'Badly', 'Sometimes', 'Often', 'Much less as i age', 'Lack of affection (intp)', 'Never ', 'Horribly!', 'Only when alone']",174,17
56,Physician-diagnosed celiac/coeliac disease,"['No', '0', '1', 'Yes', 'Never diagnosed. have nearly every genetic marker.']",170,5
165,Cleverness,"['Yes', 'Normal', 'J2a1a', 'Uh yeah....', 'Ub8', 'B2a', 'Above average', 'Above average iq (tested)', 'Everyone answers ""above average"" isn\'t it? :)', 'Depends what you mean by clever...""smart"" yes; innovative, not really', ' both witty and able to find a clever solution to problems or have clever ideas. ', 'Street smart - always trust my instincts!', '156 iq', 'No', 'Spiky cognitive profile']",168,15
23,Strabismus,"['True', 'False', 'No', 'Slight outward (l)', 'Vertical']",166,5
254,hair on ear,"['No', 'Yes', 'Yes - after 40']",166,3
264,Fight or flight response (see description),"['Fight', 'Flight', 'Depends if he is armed ', 'Depends on the situation ', 'Freeze', 'Fight & win - never be a victim', 'Definitely flight', 'Fight, only because i run really slow', 'Flight, so i can be in the street when my heart beats out of my chest.']",165,9
396,Eye Color,"['Brown', 'Hazel', 'Blue', 'Light green', 'Light gray/blue. amber/med brown on sphincter. gray ring around outer edge. flecks (nevi).', 'Dark gray, blue, green (central heterochromia), yellow/brown ring around pupil, ', 'Dark brown', 'Changes with mood blue/grey/green', 'Blue-brown heterochomia', 'Light brown with dark green tint', 'Blue/green/gold', 'Hazel/yellow', 'Green', 'Dark blue', 'Blue/green/grey - changes with lighting and clothing']",164,15
191,rolled tongue,"['Yes', 'No', 'Unsure']",163,3
192,Interests-General,"['None, minor, severe', 'Science, technology, history, politics', 'Genealogy, reading, movies', 'History, biography, genealogy, spirituality', 'Flying, scuba diving, sailing, genealogy', 'Computers, technology', 'History,foreign language learning,reading, politics,genealogy,some gnostic', 'Spirituality, philosophy', 'Science, sports, competition', 'Genealogy, genetics, photography, art ', 'Science, horticulture, bush walking', 'Genealogy, science, water sports, sewing', 'Constantly changing', 'Everything except sports', 'Genealogy, reading, exercise, movies', 'Anthropology,linguistics,theoretical physics,astronomy,populations genetics,history,psychology', 'Gardening, reading, photography, traveling', 'Fishing and nature', 'Photography, jane austin, independent study', 'Science, genetics, psychology, internet, tech.', 'History, geographphy, botany, evolution, culture, art, philosophy, ecology, outdoor life, science, permaculture, pre-history', 'Genealogy, history, travel, investing, science', 'Health', 'History, travel, culture, spirituality', 'Hiking and researching things on the internet', 'Science, math, neuroscience, physics, chemistry', 'Linguistics, theoretical phyics, philosophy, spiritualism, reading, history, genealogy', 'Spirituality, nature, art, music, literature, cinema', 'History, linguistics, politics, genealogy', 'Web development, movies, reading, researching topics on the internet ', 'Reading (non-fiction & some fiction), art, music, science, landscaping, philosophy, rowing, travel; i guess everything interests me ', 'Overbroad and not accurate', 'Hiking, politics, genetics, culture, genealogy, psychology, and researching things on the internet', 'Linguistics, genealogy, music, travel, astronomy, philosophy, world culture, comedy...everything', 'Sociology, psychology, meta physics, astronomy, astrology, politics, genetics', 'Technology, science, reading, traveling, making things', 'Biosciences, anthropology, history, genealogy, gardening', 'Reading, psychology, cognitive science, neuroscience, philosophy, medicine, healthcare, music, art, discussion', 'Genealogy, travel, history, politics, camping, gardening, internet, genetics, nature, animals, music, non-fiction reading/tv, documentaries', 'Genealogy, history, geography, sports, dancing, travel', 'Genealogy, painting', 'Diamond painting, music, binge watching tv series ', 'Genealogy, history, archaeology, archaeogenetics, paleogenetics, paleoanthropology, ethnology', 'Genealogy, biology (especially genetics), fashion/style (historical and present), existentialism, ancient stoics, toaism', 'Citizen science, nutrition and health, abnormal psychology, careers, education, human intelligence', 'Science, genetics, internet, tech., psychology', 'Very diverse (esotericism, natural sciences, poetry, hiking and much more)']",163,47
211,Thyroid Issues/Cancer,"['No thyroid issue, no cancer issue', 'Uterine cancer', ""Hashimoto's and hypothyrodism"", 'Goiter/nodules/hyperthyroid', 'Haplogroup j1c2c', ""Hashimoto's and papillary cancer"", 'Nodules', 'Hypothyroid', 'Suspect', 'Breast', 'Yes, swings from one extreme to the other', 'No']",162,12
265,Would you invite strangers into your living space?,"['No', ""No, sorry i'm a hoarder"", 'Depends on the reason', 'Hell no', 'Yes']",162,5
101,Interested in news from real newspaper / news from the Internet,"['Only science newspapers', 'Daily internet, little or no newspaper', 'Yes', 'Often', 'Somewhat', 'No, boring', 'Radio', 'Its all bull shit', 'Both', 'Sometimes', 'It is all bullshit, but i like my bullshit on paper', 'I don’t want to know ', 'Seldom']",162,13
162,Ambition,"['The ambiguity of this question bothers me', 'Ambitious', 'Not really', 'Somewhat', 'Yes', 'Average', 'No']",160,7
155,Do you like the taste of hops?,"['No', 'Yes', ""Don't eat foods containing hops"", 'In beer', 'I dont drink thank you', 'No, i am allergic to hops.', 'Never tasted alcohol', 'Bitter']",160,8
215,Multiple Sclerosis,"['None', 'Symptoms but testing negative', 'Relapsing remitting', 'My mom has it and i am yet to be diagnosed but think so', 'I have a sister with it and i think i may also', 'Relapsing progressive', 'Tingling and neurodegeneration happening. strong autoimmune problems. concerned about eventual increased risk of ms', 'Unknown', 'Rrms', 'No']",160,10
184,Boldness type,"[""No i'm pretty timid not bold ;)"", 'Mid-frontal', 'I am not bald', 'Front and rear', 'Rear', 'Arial', ""I'm not very bold"", 'Hey theres one of your bugs boldness =baldness ??? me im not bald at all', 'Bald', 'Average', 'Im very bold', 'As bold but not as bald as an eagle']",159,12
87,form of the nose,"['Medium large', 'Roman-nose', 'Strong prominent bridge', 'Bumb/hump/knuckle', 'Nose shaped', 'Medium', 'Small nose(east asian nose)', 'Straight w/narrow bridge', 'Small', 'Medium wide', 'Snub-type nose', 'Even', 'Greek', 'One side of profile looks like a hump, otherside straight.', 'Turned up button nose', 'Knuckle snub nose', 'Larger ', 'I have a nose?', 'Just a normal man nose', 'Straight w/narrow high bridge', 'Medium, straight', 'Wavy contour, straight base']",159,22
196,Hashimoto's,"['No', 'Yes', 'Dont know', ""Suspect hashimoto's but not confirmed"", 'No, but one of my parents has it']",156,5
22,Amblyopia,"['True', 'False', 'No', 'Both eyes gone weak on me']",156,4
219,Sweat eating spicy food,"['Sometimes ', 'No', 'Yes', ""Don't eat spicy food."", 'Yes, scalp first']",155,5
358,Affinity For Animals,"['Very high!', 'Yes', 'Neutral', 'Dislike most animals']",155,4
193,Body complexity,"['Curvy', 'Average', 'No', 'Slim slightly pear', 'Broad shouldered/narrow waist', 'Broad shouldered, heavy build', 'Slim', '6 ft 2 inch 220 lbs extra large shirt 36 34 pants', 'Short legs, otherwise normal', 'Top heavy, small bottom', 'Thin with wide hips', 'Slim, curves, toned', '6 ft 2 inch 195 lbs extra large shirt 36 34 pants', 'Long legs', '5’8, broad shoulders, very top heavy, long arms and legs ', 'Skinny', 'Athletic, skinny']",154,17
104,Enjoy riding a motorbike,"['No', 'Yes', 'Do not know', 'Yes, when younger.']",153,4
210,Keloid,"['None', 'Few', 'Genetic trait possibly connected to amount of melanin in skin(pigmentation)', 'Yes', 'Rs873549', 'Rs873549 tt', 'Just one', 'Rs873549 ct ', 'Rs873549 t/t', 'No']",153,10
202, African,"['No', '0.1% sub-saharan african', '.9% north african', '0.2% west african', 'Dont know', '5%', '0.3% sub-saharan african', 'North africa 4% + west africa 4%', '1.5', '81.9 % sub-saharan african', '.9% sub-saharan african', '.2% east/central africa (ftdna) or 1% west asia (ancestrydna)', '79% west african', '49.92% west african', '2% sub-saharan african', 'Yes', '91% sub-saharan african', '7.5% sub-saharan african', '16.7 %', 'Middle east', 'Small % morroccan', '0.4% north african', '70% ', '0.6% sub-saharan african', '1-2% north african', 'Rs10172629', ""I'm part"", '0.4% nigerian']",153,28
166,Desmoid Tumor,"['Yes', 'No', 'I dont know cant afford dr', ""Don't know.""]",153,4
38,SAT Verbal,"['730', '800', '530', '710', 'Country with no sat', 'Never taken', '650 (710r)', '720', 'Never & have ba & above', '760', '650', '780', ""Verbal higher than math don't remember"", '640', '690', '660', '728', '750', '719', '670', ""Don't remember"", '521', '733', '650 on sample test', '787', '790', '680', '540']",151,28
311,nosebleeds as a child,"['Yes', 'None', 'Rarely. brother had them all the time though.', 'Occasionally']",150,4
368,Anxiety,"['Pdd-nos related anxiety ', 'Diagnosed with anxiety', 'Ptsd-related', 'Mild, not diagnosed', 'No anxiety problems ', 'Diagnosed.', 'Yes', 'Generalized anxiety disorder']",150,8
204,Supernumerary Kidney,"['No', 'Two kidneys with two ureters opening separately into bladder.', 'Complete duplication of left urinary tract', 'I dont know im not a doctor', 'Standard', 'My mama has one kidney ']",149,6
94,ear proximity to head ,"['Medium', 'Close', 'Attached', 'No', 'Another repeat ????stop ', 'Normal', 'Protruding ear']",148,7
198,Sporting activity participation,"['None', 'Individual non-contact', 'Individual contact', 'Fishing camping', 'Team', 'Yes', 'Some team', 'Hiking, camping, fishing when younger', 'Short duration only if strenuous, longer duration if mild. have ampd1 per genetics ( rs17602729(t;t)', 'Hikeing and camping', 'Dance', 'Short duration only if strenuous, longer duration if mild']",148,12
241,Haemophilia/Hemophilia,"['No', 'Bad blood clotting ', 'No. clot too quickly.', 'Factor v leiden (r506q)', 'Factor xi rs2289252 t/t ', 'Rs2289252 c/t', 'Type a: factor viii deficient (severe)', 'Carrier', 'Von willebrand 2a']",148,9
160,First word,"['Ball', ""Don't know"", 'Papa', 'Mama', 'No', 'Light', 'Dada', ""Sa? (what's that?)"", ""I'm sexy and i know it"", 'Button', 'Airplane', 'Mommy', 'Mine', 'Car', 'Duck', ""My parents never told me and honestly i didn't really care to ask them"", 'Daddy work', 'Balloon', 'Shut up', 'Egg', 'Shit (seriously)', 'Book', 'Bird', 'How?', 'Pasta', 'Putty (mix of pussy and kitty)', 'Manimoto', 'Pizza', 'How am i suppose to know that', 'Kitty', 'Cookie', 'Byebye', 'Moon']",147,33
275,Skin - Fitzpatrick Scale,"['Type iii', 'Type i', 'Type ii', 'Type iv', 'All i know is its tan', 'Type 1 - no freckles; always burns', 'Type v', 'Iii', 'Type iii admixture ']",147,9
205,Impacted Canines,"['Canines not impacted', 'Impacted canines requiring surgery', 'Impacted molars', 'Impacted canines, several years with braces.', 'No', 'Yes']",146,6
92,(male) penis releases pre-cum when sexually aroused.,"['Yes', 'No', 'N/a', 'Very little', 'Yuck. female', 'Well i guess i could buy one that is hollow and get some fake stuff to imitate that happening lol ', 'Yes (on estrogen)']",145,7
243,Adult Second Language Acquistion Aptitude,"['Easy to learn 2nd language', ""Easy to aquire reading knowledge,can't follow conversation very well  on unsubbed tv"", 'No', 'Untried', 'Reasonably well in closely related ( i.e. scandinavian) languages', 'Spanish, french, cobol, mumps', 'Somewhat easy', 'Poor', 'Only computer languages', 'Phonetics/grammar/reading extremely easy, conversation (listening and speaking) more difficult', 'Yes']",145,11
39,SAT - when taken,"['Before april 1995, april 1995 thru feb 2005, after feb 2005', 'Before april 1995', 'April 1995 thru feb 2005', '1987', 'June 2007', 'Never and have a bachelor of science degree [or above]', 'Never have a bachelor of science degree [', '1975', 'From country with no sat', '!968', '1993', 'Never3', 'Never', '1971', 'Before may 1990', '1982', 'None', '1996', 'Before 1975', '1964', '1967', '1970', '1984', '2007', '1983', '1961', '1988', ' 1975', '2016', '2004', '1962', '1973', '1978', 'Never and have a doctorate', 'June 2011']",144,35
131,Cholesterol,"['High', '< 200 mg/dl normal ', '195 mg/dl', 'Low/normal', ""Don't know."", 'Borderline high at times.', 'High, but vegan.', 'High hdl low ldl cholesterol (may have inherited from mother)', 'Average', 'Hereditary hyperlipidemia', 'Normal', '140']",144,12
208,Little fingers(pinkies),"['Little fingers are straight', 'Bend inward', 'Bend outward slightly', 'No']",144,4
102,(Male) Nipple's size,"['Medium', 'Small', 'N/a', 'Big']",144,4
145,ABH Blood Group (antigens) ,"['O+', 'Secretor (saliva non-secretor)', 'Rs601338 a/a non-secretor ', 'Rs601338 a/g secretor ', 'A+', 'Non abo blood group kell k-k+ (gg)', 'B+ (r1r2)', 'Unknown', 'Non abo kell blood group k+k+ (ag)', 'Rs601338 g/g   a+', ""Unknown but suspect i'm a non-secretor (o-)"", 'A-', 'Secretor - rs601338 gg   b-', 'O-', 'B-', 'Hla-b27', 'Ab-', 'A""b+', 'B+; rs601338 a/g secretor', ""B+ don't know about anything more about my blood type.""]",142,20
246,Photophobia,"['No', 'Slight', 'None noted', 'Very sensitive to bright sunlight - eye pain', 'Needs photchromic lens or sunglasses most of the time in sunlight', 'Yes, triggering temporal seizures', ""No pain, but can't focus my eyes without closing one"", 'Sensitive to certain bulbs, colors, and flicker rates', 'Yes, i hate led tail lights', 'Sensitive to strobing light - especially white light - eg reflecting off car windscreens. sense of triggering for migraine, induces slight feeling of nausea']",141,10
364,IQ,"['138', '140', '120-160 depending on environment', '148', '135', '172', '130', '151', 'Don´t know', '147', '125', '149', '128', '160 (wechsler. 4 sd=15)', 'Short legs', '114', '132', '122', '145', '129', '115', '110', '107', '142', '140 ', '136', '105', '154', '143', 'Rs2301718(a;g)', '126', '153', '160 sd 15', '116', '130 wais-iv (usa version)', '124', '137', '121']",141,38
257,Diagnosed with Sleep Apnea?,"['Yes', 'No', 'Was, but problem resolved']",140,3
333,hair colour,"['Between dark blonde and light brown', 'Dark brown', 'Brown', 'Blonde', 'Black', 'Red', 'Chestnut', 'Reddish brown', 'Dark blonde', 'Medium brown']",140,10
181,Persistant Muscle Pain or Fatigue,"['Daily fatigue', 'None', 'Daily muscle pain and fatigue', 'Chronic connective tissue pain and fatigue', 'Rarely', 'Daily muscle pain', 'No']",139,7
273,black skin,"['Black skin', 'No', 'Tan', 'Brown']",138,4
159,Wanting to be immortal,"['Immortalist', 'No', ""Want to be immortal but if that's not possible dying is ok"", 'Oh hell no', 'Only if everyone else is too', 'There can be only one! ', 'This is not a phenotype', 'N/a', 'Yes!!! doing everthing in my power to acheive this goal.  only organic healthy foods along with many daily suppliments, gym 4x a week', 'Extremely extended lifespan']",137,10
